Q106605756	Öjendorfer_Damm
Q732023	Allgemeines_Krankenhaus_Barmbek
Q106604891	Alma-Wartenberg-Platz
Q51912	Al-Quds_Mosque_Hamburg
Q114808626	Alsenplatz_(Hamburg)
Q114808629	Alsenstraße_(Hamburg)
Q895601	Alster_Northern_Railway
Q2651483	Alsterarkaden
Q2651485	Alster-Beste-Kanal
Q106604892	Alsterchaussee
Q106604893	Alsterdorfer_Straße
Q1614236	Alsterfleet
Q2651496	Alsterfontaine
Q106604894	Alsterglacis
Q106604845	Alsterkrugchaussee
Q110071974	Alsterpark_(Grünanlagen_rund_um_die_gestaute_Alster)
Q1632185	Alsterring-Gymnasium
Q1314255	Alstertal-Einkaufszentrum
Q106604895	Alsterterrasse
Q50107677	Alstertor
Q106604896	Alstertwiete
Q106604897	Alsterufer
Q110151777	Alsterufer_27,_28
Q107762039	Altbau_der_Staats-_und_Universitätsbibliothek_Hamburg
Q58808006	Alte_Harburger_Elbbrücke
Q106604898	Alte_Holstenstraße
Q11905165	Alte_Kollau
Q106604899	Alte_Landstraße_(Hamburg)
Q436055	Alte_Oberfinanzdirektion_Hamburg
Q19964045	Alte_Oberschulbehörde
Q103483289	Alte_Osterbek
Q436110	Alte_Post_(Hamburg)
Q106604900	Alte_Rabenstraße
Q114808630	Alte_Sieker_Landstraße
Q76307211	Alte_Sudpfanne,_Hamburg-St._Pauli
Q106604901	Alte_Wöhr
Q106604902	Altengammer_Elbdeich
Q28375610	Altenwerder_Oberfeuer
Q28375608	Altenwerder_Unterfeuer
Q106604903	Alter_Berner_Weg_(Hamburg)
Q11679872	Alter_Botanischer_Garten_Hamburg
Q437844	Alter_Elbpark
Q460264	Alter_Elbtunnel
Q43405943	Alter_Fischmarkt_(Hamburg)
Q18616186	Alter_Friedhof_Harburg
Q43812915	Alter_Friedhof_Wandsbek
Q437953	Alter_Hammer_Friedhof
Q98936639	Alter_Jaarsmoorgraben
Q438118	Alter_Niendorfer_Friedhof
Q106604904	Alter_Postweg_(Hamburg)
Q106604906	Alter_Steinweg_(Hamburg)
Q106604907	Alter_Teichweg
Q438216	Alter_Wall_(Hamburg)
Q104650747	Alter_Wall_2_Hamburg
Q112183792	Alter_Wall_38
Q106604908	Alter_Wandrahm
Q439225	Altes_Hafenamt,_Dalmannstraße
Q47504016	Altes_Krematorium_Hamburg-Alsterdorf
Q86440647	Altes_Rathaus_Altona
Q26951150	Altes_Zollhaus_(Hamburg-HafenCity)
Q60475059	Althamburgischer_Gedächtnisfriedhof
Q106604909	Altländer_Straße_(Hamburg)
Q60540092	Altmannbrücke
Q443975	Altonaer_Balkon
Q444003	Altonaer_Blutsonntag
Q67080057	Altonaer_Holzhafen
Q27478664	Altonaer_Kaispeicher
Q26156624	Altonaer_Kinderkrankenhaus
Q126971	Altonaer_Museum
Q444036	Altonaer_Rathaus
Q106604910	Altonaer_Straße_(Hamburg)
Q444049	Altonaer_Theater
Q444045	Altonaer_Volkspark
Q443903	Altona-Kieler_Chaussee
Q443917	Altona-Lübecker_Chaussee
Q106604912	Altstädter_Straße
Q106604913	Am_Alten_Posthaus_(Hamburg)
Q107453320	Am_Baum_(Hamburg)
Q107446173	Am_Baum_1_(Hamburg)
Q106604914	Am_Brunnenhof
Q114808632	Am_Burgberg_(Hamburg)
Q106604915	Am_Centrumshaus_(Hamburg)
Q106604917	Am_Dalmannkai_(Hamburg)
Q106604918	Am_Diebsteich_(Hamburg)
Q106604919	Am_Dulsbergbad
Q106604921	Am_Felde_(Hamburg)
Q106604923	Am_Friedhof_(Hamburg)
Q106604924	Am_Grasbrookpark_(Hamburg)
Q106604926	Am_Hünenstein_(Hamburg)
Q106604925	Am_Hannoverschen_Bahnhof
Q106604927	Am_Husarendenkmal
Q106604928	Am_Lohmühlenpark
Q451352	Am_Lohsepark
Q106604930	Am_Mariendom_(Hamburg)
Q106604932	Am_Neumarkt_(Hamburg)
Q106604933	Am_Ochsenzoll
Q76176795	Am_Pfeilshof
Q3398930	Am_Rothenbaum
Q106604934	Am_Sandtorkai
Q96376285	Am_Sandtorkai_1
Q106604935	Am_Schulgarten_(Hamburg)
Q106604936	Am_Schulwald
Q106604937	Am_Wall_(Hamburg)
Q106604939	Am_Weißenberge
Q106604938	Am_Weiher_(Hamburg)
Q110413539	Amalie-Dietrich-Haus
Q294799	AMD_Akademie_Mode_&_Design_Düsseldorf
Q106604940	Amelungstraße_(Hamburg)
Q108013586	Amerigo-Vespucci-Platz
Q11905356	Ammersbek_(Alster)
Q106604941	Amsinckstraße_(Hamburg)
Q480735	Amtsgericht_Bergedorf
Q110205964	Amtsgericht_Blankenese
Q110206015	Amtsgericht_Wandsbek
Q106604942	An_der_Alster
Q106604943	An_der_Alsterschleife
Q106604944	An_der_Baumschule
Q108935321	An_der_Falkenbek_8
Q106604945	An_der_Glinder_Au
Q106604946	An_der_Kunsthalle
Q106604947	An_der_Marienanlage
Q106604948	Anckelmannsplatz
Q106604949	Anckelmannstraße
Q106604950	Angerstraße_(Hamburg)
Q22940214	Anglo-German_Club_(Hamburg)
Q106604951	Anne-Frank-Straße_(Hamburg)
Q11905669	Annenfleet
Q106604952	Annenstraße_(Hamburg)
Q104902154	Annenstraße_3_(Hamburg)
Q106604953	Annie-Kienast-Straße
Q114808634	Anny-Tollens-Weg
Q98608629	Ansgarkirche_(Hamburg-Othmarschen)
Q76307936	AntjeBrunnen_AlstertalEinkaufszentrum_HamburgPoppenbüttel
Q109008225	Anton-Rée-Schule_Allermöhe
Q114808637	Anzengruberstraße_(Hamburg)
Q295927	AOK_Building_in_Hamburg-Borgfelde
Q108566753	Apostelkirche_(Hamburg-Eißendorf)
Q114808638	Arboretum_in_Hamburg-Poppenbüttel
Q636803	Archäologischer_Wanderpfad_Fischbeker_Heide
Q114808641	Arie-Goral-Platz
Q106604954	Armgartstraße
Q106604956	Arnkielstraße_(Hamburg)
Q114808644	Arnoldstraße_(Hamburg)
Q878694	Arp-Schnitger-Orgel_in_der_Hauptkirche_St._Jacobi_in_Hamburg
Q106604957	Arp-Schnitger-Stieg
Q732030	Asklepios_Klinik_Harburg
Q732041	Asklepios_Klinik_Nord
Q732061	Asklepios_Klinik_Wandsbek
Q732068	Asklepios_Kliniken
Q90803484	Astra-Turm
Q15041844	Atlantic-Haus
Q19259871	Außenmühlenteich
Q106604967	Außenmühlenweg_(Hamburg)
Q16240789	Auditorium_Maximum_(Universität_Hamburg)
Q106604958	Auedeich_(Hamburg)
Q759120	Auenlandschaft_Norderelbe
Q106558963	Aueschule_Finkenwerder
Q106604959	Auf_dem_Felde
Q106604960	Auf_dem_Sande_(Hamburg)
Q106604961	Auf_den_Blöcken_(Hamburg)
Q759617	Auferstehungskirche_(Hamburg-Barmbek)
Q108566755	Auferstehungskirche_(Hamburg-Lohbrügge)
Q108566756	Auferstehungskirche_(Hamburg-Lurup)
Q108566757	Auferstehungskirche_(Hamburg-Ohlsdorf)
Q106604962	August-Bebel-Straße_(Hamburg)
Q106604964	Augustenburger_Straße_(Hamburg)
Q50358748	Augustenpassage
Q90669617	August-Hermann-Francke-Schule_Bahrenfeld
Q107411958	August-Hermann-Francke-Schule_Bergedorf
Q94304450	August-Hermann-Francke-Schule_Berne
Q101246779	August-Hermann-Francke-Schule_Farmsen
Q83489240	August-Hermann-Francke-Schule_Uhlenhorst
Q18410459	Augustinum_Hamburg
Q114808648	August-Kirch-Straße
Q106604963	August-Krogmann-Straße
Q106604965	Ausschläger_Elbdeich
Q100741724	Ausschläger_Elbdeich_3
Q106604966	Ausschläger_Weg
Q114808651	Australiastraße
Q10602002	Autobahnbrücke_Moorfleet
Q106604968	Avenues_in_Hamburg
Q106604969	Averhoffstraße
Q106157100	Averhoffstraße_38
Q106604970	Axel-Springer-Platz
Q106604972	Bäckerbreitergang
Q106992065	Bärenallee
Q106604980	Bärenhof_(Straße)
Q106605056	Böckmannstraße
Q106605058	Böhmestraße_(Hamburg)
Q106605070	Böttcherkamp
Q114808731	Böttgerstraße_(Hamburg)
Q1573209	Bücherhallen_Hamburg
Q108564266	Bürgerhaus_Wilhelmsburg
Q95730040	Bürgerweide_(Hamburg)
Q1021738	Büsch-Denkmal
Q114808733	Büschstraße
Q113469856	Büschstraße_7
Q882620	B-515_(submarine,_1976)
Q106604971	Baakenallee
Q797461	Baakenhafen
Q106678336	Baakenhafenbrücke
Q59296758	Baakenpark
Q92206717	Bachstraße_(Hamburg)
Q114808655	Badestraße_(Hamburg)
Q106604973	Baererstraße_(Hamburg)
Q106604974	Bahngärten_(Hamburg)
Q800870	Bahnhof_Barmbek
Q18173158	Bahnhof_Bergedorf_Süd
Q827138	Bahnhof_Berliner_Tor
Q800871	Bahnhof_Blankenese
Q328028	Bahnhof_Eidelstedt
Q11877023	Bahnhof_Elbbrücken
Q634142	Bahnhof_Hamburg_Dammtor
Q800879	Bahnhof_Hamburg_Holstenstraße
Q800881	Bahnhof_Hamburg_Klosterthor
Q5644281	Bahnhof_Hamburg_Neugraben
Q650270	Bahnhof_Hamburg-Altona
Q320225	Bahnhof_Hamburg-Bergedorf
Q22341410	Bahnhof_Hamburg-Rahlstedt
Q22341347	Bahnhof_Hamburg-Tonndorf
Q800877	Bahnhof_Hamburg-Wandsbek
Q800891	Bahnhof_Hasselbrook
Q80219284	Bahnhof_Jungfernstieg
Q8158664	Bahnhof_Landungsbrücken
Q800876	Bahnhof_Ohlsdorf
Q800880	Bahnhof_Wandsbeker_Chaussee
Q114808656	Bahrenfelder_Chaussee
Q106604975	Bahrenfelder_Kirchenweg
Q114808659	Bahrenfelder_Marktplatz
Q106604976	Bahrenfelder_Steindamm
Q114808661	Bahrenfelder_Straße
Q106962783	Balduinstraße_(Hamburg)
Q106604977	Ballerstaedtweg
Q874154	Ballettzentrum_Hamburg
Q60746643	Ballhaus_Trichter_(Hamburg)
Q805265	Ballindamm
Q805262	BallinStadt
Q106604978	Banksstraße_(Hamburg)
Q98023139	Bansgraben
Q106604979	Barcastraße_(Hamburg)
Q265107	Barclaycard_Arena_(Hamburg)
Q106604981	Barenkrug
Q106604982	Bargteheider_Straße_(Hamburg)
Q114808663	Barlachstraße_(Hamburg)
Q106604983	Barmbeker_Markt
Q808346	Barmbeker_Stichkanal
Q106604984	Barmbeker_Straße_(Hamburg)
Q106604985	Baron-Voght-Straße
Q114808665	Bartelsstraße_(Hamburg)
Q106604986	Bartholomäusstraße_(Hamburg)
Q113407419	Bauarbeiter_(Hans_M._Ruwoldt;_Hamburg)
Q106604987	Bauerberg_(Hamburg)
Q111440936	Bauernstegel_3
Q106604988	Baumeisterstraße_(Hamburg)
Q15107426	Baumhaus_(Hamburg)
Q15052040	Baumwall
Q114808667	Bauvereinsweg_(Hamburg)
Q813228	Beatles-Platz
Q106604990	Bebelallee_(Hamburg)
Q63092260	Beckstraße_(Hamburg)
Q114808669	Beerentalweg
Q58370246	Beesenlandbrücke
Q106604991	Beethovenstraße_(Hamburg)
Q814528	Behnbrunnen
Q106604992	Behringstraße_(Hamburg)
Q106604993	Bei_den_Mühren
Q112921066	Bei_den_St._Pauli-Landungsbrücken
Q106604994	Bei_der_Apostelkirche
Q106604995	Bei_der_Christuskirche
Q106604996	Bei_der_Flottbeker_Kirche
Q106604997	Bei_der_Flottbeker_Mühle
Q106604998	Bei_der_Friedenseiche
Q106604999	Bei_der_Hauptfeuerwache
Q106605000	Bei_der_Johanniskirche
Q106605001	Bei_der_Lutherbuche
Q106605002	Bei_der_Matthäuskirche_(Hamburg)
Q106605003	Bei_der_Paul-Gerhardt-Kirche
Q106605004	Bei_der_St._Gertrudkirche
Q106605005	Bei_Schuldts_Stift
Q106605006	Bei_St._Annen_(Hamburg)
Q106605007	Bei_St._Johannis_(Hamburg)
Q106605008	Beim_Alten_Schützenhof
Q106605009	Beim_Andreasbrunnen
Q106605010	Beim_Berliner_Tor
Q106605011	Beim_Grünen_Jäger
Q106605012	Beim_Jacobjstift
Q106605013	Beim_Rauhen_Hause
Q106605014	Beim_Schäferhof
Q106605015	Beim_Schlump
Q106605016	Beim_Strohhause
Q106605017	Bekassinenau
Q104322791	Bekenbach
Q106605018	Bekkamp_(Hamburg)
Q106605019	Bellealliancestraße
Q106605020	Bellevue_(Hamburg)
Q28604520	Bellevuebrücke
Q106605021	Beltgens_Garten
Q106605023	Bendixensweg
Q12307568	Benediktekirche_(Dänische_Seemannskirche),_Hamburg
Q114808671	Bennigsenstraße_(Hamburg)
Q62567337	Benque_&_Kindermann
Q819489	Bergedorfer_Gehölz
Q106605024	Bergedorfer_Markt
Q106605026	Bergedorfer_Schloßstraße
Q106678124	Bergedorfer_Schlossgarten
Q114808673	Bergedorfer_Straße_(Hamburg)
Q57548329	Bergedorfer_Windmühle
Q106605027	Bergkoppelweg_(Hamburg)
Q106605028	Bergmannstraße_(Hamburg)
Q106992068	Bergstedter_Alte_Landstraße
Q106605029	Bergstedter_Chaussee
Q56088097	Bergstedter_Graben
Q820252	Bergstedter_Kirche
Q106605030	Bergstedter_Markt
Q106605031	Bergstraße_(Hamburg)
Q820483	Bergwerk_Robertshall
Q1572879	Berliner_Bahnhof_(Hamburg)
Q4707909	Berliner_Bogen
Q106605032	Berliner_Tor_(Hamburg)
Q106605033	Berlinertordamm
Q106605034	Bernadottestraße_(Hamburg)
Q106605035	Berner_Allee
Q328823	Berner_Au
Q28124853	Berner_Gutspark
Q106605036	Berner_Heerweg
Q111203537	Berner_Heerweg_187
Q106605037	Berner_Weg
Q617048	Bernhard-Nocht-Institut_für_Tropenmedizin
Q20050223	Bernhard-Nocht-Straße
Q106605038	Bernstorffstraße_(Hamburg)
Q100874607	Berufliche_Schule_City_Nord
Q109469101	Berufliche_Schule_für_Spedition,_Logistik_&_Verkehr
Q24283619	Berufliche_Schule_für_Wirtschaft_Hamburg-Eimsbüttel
Q98271592	Berufliche_Schule_Fahrzeugtechnik
Q101525810	Berufliche_Schule_Farmsen
Q109560536	Berufliche_Schule_St._Pauli
Q106778699	Berufliche_Schule_Stahl-_und_Maschinenbau
Q828953	Berufsgenossenschaftliches_Unfallkrankenhaus_Hamburg
Q105723361	Berufsschule_Billwerder_Billdeich_614
Q105723401	Berufsschule_Billwerder_Billdeich_620
Q105723288	Berufsschule_Billwerder_Billdeich_622
Q106519847	Berufsschule_Dratelnstraße_24
Q106519857	Berufsschule_Dratelnstraße_26
Q106519866	Berufsschule_Dratelnstraße_28
Q101477189	Berufsschule_Hermelinweg
Q107389814	Berufsschule_Reichsbahnstraße
Q106395065	Berufsschule_Richardstraße
Q114808675	Beselerplatz
Q18616700	Besenbinderhof
Q106605039	Bethesdastraße_(Hamburg)
Q831313	Bethlehem-Kirche_(Hamburg-Eimsbüttel)
Q61409678	Bieberhaus
Q114808677	Bieberstraße_(Hamburg)
Q106605040	Biedermannplatz
Q108344871	Bildungszentrum_für_Blinde_und_Sehbehinderte
Q106605041	Billbrookdeich
Q11909384	Billbrookkanal
Q11909383	Billekanal
Q114808679	Billhorner_Brückenstraße
Q114808682	Billstedter_Hauptstraße
Q106605042	Billstraße_(Hamburg)
Q106605043	Billwerder_Billdeich
Q106640704	Billwerder_Billdeich_424
Q109676079	Billwerder_Bucht
Q114808684	Billwerder_Straße
Q106605044	Binderstraße_(Hamburg)
Q106605045	Bindfeldweg
Q3238460	Binnenalster
Q106605046	Binnenfeldredder
Q863909	Binnenhafen_(Hamburg)
Q21199010	Biosphärenreservat_Hamburgisches_Wattenmeer
Q800176	Birdland_(Hamburg)
Q866205	Bischofsturm_(Hamburg)
Q540460	Bismarck-Denkmal_(Hamburg)
Q106605047	Bismarckstraße_(Hamburg)
Q880257	Black_Form_–_Dedicated_to_the_Missing_Jews_(Sol_LeWitt)
Q1340048	Blankenese_Oberfeuer
Q2151324	Blankenese_range_lights
Q1821466	Blankenese_Unterfeuer
Q106605048	Blankeneser_Bahnhofstraße
Q106605049	Blankeneser_Hauptstraße
Q881579	Blankeneser_Kirche
Q106605050	Blankeneser_Landstraße
Q19275518	Bleichenbrücke
Q106605051	Bleichenbrücke_(street)
Q106605052	Bleicherstraße_(Hamburg)
Q63439545	Blohm_+_Voss_yard
Q19835553	Blohms_Park
Q106605053	Blumenau_(Hamburg)
Q106605054	Blumenstraße_(Hamburg)
Q114808699	Boßdorfstraße_(Hamburg)
Q114808686	Boberger_Furtweg
Q109347064	Boberger_Furtweg_1
Q1970851	Boberger_Niederung
Q888737	Boberger_See
Q106605055	Bochumer_Weg_(Hamburg)
Q108566758	Bodelschwingh-Kirche_(Hamburg-Winterhude)
Q19275580	Boehn-Kaserne_(Hamburg)
Q106605057	Bogenstraße_(Hamburg)
Q108342432	Bolivarpark_(Harvestehude)
Q114808688	Bonifatiusplatz_(Hamburg)
Q106605059	Bonifatiusstraße_(Hamburg)
Q106605060	Borchertring
Q106605061	Borgesch_(Hamburg)
Q106605062	Borgfelder_Allee_(Hamburg)
Q106605063	Borgfelder_Straße_(Hamburg)
Q1658840	Borghorster_Elblandschaft
Q106605064	Borgweg_(Hamburg)
Q20107744	Bornbach_(Tarpenbek)
Q106605065	Bornemannstraße_(Hamburg)
Q106605066	Borner_Stieg
Q106605067	Bornheide_(Hamburg)
Q106605068	Bornkampsweg_(Hamburg)
Q114808691	Bornstraße_(Hamburg)
Q98068876	Bornweggraben
Q58070302	Borsigbrücke_(Hamburg)
Q114808693	Borsigstraße_(Hamburg)
Q114808695	Borsteler_Chaussee
Q114808697	Borstelmannsweg
Q106605069	Bostelreihe
Q613250	Botanischer_Garten_Hamburg
Q14906471	Bovehaus_(Hamburg-Wandsbek)
Q106605071	Bovestraße
Q106605072	Bozenhardweg
Q106605087	Brödermannsweg
Q58804215	Brücke_des_17._Juni_(Hamburg)
Q96309255	Brüder-Grimm-Schule_(Hamburg)
Q996802	Brüderstraße_(Hamburg)
Q106605073	Braamkamp
Q65657978	Brabandbrücke
Q11909931	Brabandkanal
Q897345	Brahms_Kontor
Q114808701	Brahmsallee_(Hamburg)
Q28745374	Brahms-Museum
Q106605074	Bramfelder_Chaussee
Q23785419	Bramfelder_Dorfgraben
Q114808703	Bramfelder_Dorfplatz
Q108105595	Bramfelder_Dorfplatz_1
Q897573	Bramfelder_See
Q14540498	Bramfelder_Straße
Q111034798	Bramfelder_Straße_157
Q897571	Bramfelder_SV
Q106605075	Bramfelder_Weg
Q114808705	Brandshofer_Deich
Q63562647	Brandshofer_Schleuse
Q898309	Brandstwiete
Q114808707	Brauerstraße_(Hamburg)
Q106605076	Brauhausstraße_(Hamburg)
Q65998730	Brecht-Schule_(Hamburg)
Q882922	Bredenbek_(Alster)
Q106605077	Bredenbekstraße
Q106605078	Brehmweg_(Hamburg)
Q114808709	Breite_Straße_(Hamburg)
Q106605079	Breitenfelder_Straße_(Hamburg)
Q106605080	Breiter_Gang_(Hamburg)
Q106605081	Brekelbaums_Park
Q106605082	Bremer_Reihe
Q106605083	Bremer_Straße_(Hamburg)
Q114808711	Bremers_Weg
Q106605084	Brennerstraße_(Hamburg)
Q114808714	Breslauer_Straße_(Hamburg)
Q1572999	Bridges_over_the_Elbe_in_Hamburg
Q106605085	Brockdorffstraße
Q106605086	Brockesstraße_(Hamburg)
Q108566760	Broder-Hinrick-Kirche_(Hamburg-Langenhorn)
Q106605088	Brombeerweg
Q106605089	Brook_(Hamburg)
Q96973833	Brookgraben
Q98075493	Brookkampsgraben
Q96376611	Brooksfleet
Q990608	Brookwetterung
Q990681	Broschekhaus
Q106605090	Brucknerstraße_(Hamburg)
Q106605091	Bruno-Georges-Platz
Q114808716	Brunsberg_(Hamburg)
Q106605092	Brunsstraße_(Hamburg)
Q1821452	Bubendey-Ufer_Oberfeuer
Q1821467	Bubendey-Ufer_Unterfeuer
Q114808718	Bubendeyweg
Q877566	Bucerius_Kunst_Forum
Q114808721	Buchheisterstraße
Q100774814	Buckhoopgraben
Q114808723	Buckhorn_(Hamburg)
Q1000672	Budapester_Straße_(Hamburg)
Q1001375	Budge-Palais
Q106605093	Buenos-Aires-Kai_(Hamburg)
Q1002408	Bugenhagenkirche_(Hamburg-Barmbek)
Q108566761	Bugenhagenkirche_(Hamburg-Bergedorf)
Q78907266	Bugenhagenschule_Alsterdorf
Q94371090	Bugenhagenschule_Blankenese
Q93338233	Bugenhagenschule_Groß_Flottbek
Q92385985	Bugenhagenschule_Hamm
Q88265899	Bugenhagenschule_Ottensen
Q114808726	Bugenhagenstraße_(Hamburg)
Q28739878	Building_of_the_Patriotische_Gesellschaft_von_1765
Q106605094	Bullenhuser_Damm
Q11910168	Bullenhuser_Kanal
Q106605095	Bullerdeich
Q107659584	Bult_10_(Hamburg)
Q106605096	Bunatwiete
Q17036	Bundesautobahn_253
Q106605097	Bundesstraße_(Hamburg)
Q55869	Bundesstraße_207
Q34446	Bundesstraße_4
Q101992297	Bundesstraße_41_(Hamburg)
Q882422	Bundesstraße_431
Q879304	Bundesstraße_432
Q1007125	Bundesstraße_433
Q1007119	Bundesstraße_434
Q1007130	Bundesstraße_435
Q1007157	Bundesstraße_447
Q52720	Bundesstraße_73
Q52722	Bundesstraße_75
Q1009270	Bundeswehrkrankenhaus_Hamburg
Q2664261	Bunthäuser_Spitze
Q114808728	Burchardplatz
Q106605099	Burchardstraße_(Hamburg)
Q19276057	Burgruine_Henneberg_(Nachbildung)
Q106605100	Burgstraße_(Hamburg)
Q106605101	Burgunderweg_(Hamburg)
Q98347349	Burgwedelau
Q98314152	Busanbrücke
Q3647646	Bust_of_Alessandro_Peretti_di_Montalto_(Bernini)
Q106605102	Buxtehuder_Straße_(Hamburg)
Q19798476	Café_Andersen
Q1025623	Café_Keese_(Hamburg)
Q104860490	Café_Seeterrassen
Q33926956	Caffamacherreihe
Q105547318	Campus_Hebebrandstraße
Q114345313	Campus_Tower_(Hamburg)
Q108566762	Cantate-Kirche_(Hamburg-Duvenstedt)
Q114808735	Caracasweg
Q56640733	Carl_Philipp_Emanuel_Bach_Museum,_Hamburg
Q75514844	Carl-Cohn-Schule
Q106605104	Carl-Cohn-Straße
Q79044985	Carl-Götze-Schule
Q106605105	Carl-Petersen-Straße_(Hamburg)
Q1036600	Carl-Schultze-Theater
Q1036637	Carl-von-Ossietzky-Gymnasium_(Hamburg)
Q106605106	Carl-von-Ossietzky-Platz_(Hamburg)
Q106605107	Carsten-Rehder-Straße
Q106605108	Caspar-Voght-Straße_(Hamburg)
Q190383	Central_bus_station_Hamburg
Q1054368	Centrum-Moschee_(Hamburg)
Q62998711	Channel_Hamburg_Tower
Q106605109	Chapeaurougeweg
Q106605110	Charlottenburger_Straße_(Hamburg)
Q1067082	Charlotte-Paulsen-Gymnasium
Q106605111	Chateauneufstraße
Q106605112	Chaussee_in_Hamburg
Q106605113	Chemnitzstraße_(Hamburg)
Q542783	Chilehaus
Q317150	Christianeum
Q106605114	Christian-Förster-Straße
Q56426100	Christian-Morgenstern-Schule_(Hamburg)
Q1082972	Christianskirche_(Hamburg-Ottensen)
Q61310657	Christ-König-Kirche_(Hamburg-Lokstedt)
Q23041392	Christmas_markets_in_Hamburg
Q15794346	Christoph_Hansa_(air_ambulance)
Q25104624	Christopher_Street_Day_in_Hamburg
Q108566763	Christopherus-Kirche_(Hamburg-Bergedorf)
Q20754121	Christophorus-Kirche_(Hamburg-Hummelsbüttel)
Q106653192	Christophorus-Schule_(Hamburg)
Q114808738	Christoph-Probst-Weg_(Hamburg)
Q108566765	Christuskirche_(Hamburg-Eidelstedt)
Q1087322	Christuskirche_(Hamburg-Eimsbüttel)
Q1087323	Christuskirche_(Hamburg-Hamm)
Q1087320	Christuskirche_(Hamburg-Othmarschen)
Q1087331	Christuskirche_(Hamburg-Wandsbek)
Q108566764	Christuskirche_Altona
Q106605115	Chrysanderstraße
Q110226251	Chrysanderstraße_4
Q1093777	City-Center_Bergedorf
Q19277450	City-Hof
Q21036574	City-Nord-Park
Q321980	City-S-Bahn
Q65891936	Clara-Grunwald-Schule_(Hamburg)
Q106605116	Claudiusstraße_(Hamburg)
Q114808740	Claus-Ferck-Straße
Q1098963	Claussen-Simon-Stiftung
Q106605117	Clemens-Schultz-Straße
Q1103179	Club_de_Sade
Q1110928	Colonnaden
Q896114	Congress_Center_Hamburg
Q5164573	Consulate_General_of_the_United_States_in_Hamburg
Q62092128	Consulate-General_of_Japan,_Hamburg
Q1128491	Container_Terminal_Altenwerder
Q14538517	Container_Terminal_Burchardkai
Q1128489	Container_Terminal_Tollerort
Q106605118	Cordesweg
Q108566766	Cornelius-Kirche_(Hamburg-Neugraben-Fischbek)
Q1134922	Corps_Irminsul
Q114808743	Corveystraße_(Hamburg)
Q821065	Cremon_(street)
Q23984396	Cremon_11
Q87648655	Cremonbrücke
Q87412854	Critical_Mass_in_Hamburg
Q106605120	Curschmannstraße_(Hamburg)
Q114808745	Curslacker_Deich
Q109600947	Curslacker_Deich_140
Q114808748	Curslacker_Heerweg
Q110598500	Curslacker_Heerweg_1
Q114808750	Curslacker_Neuer_Deich
Q106605121	Cuxhavener_Straße_(Hamburg)
Q113494406	Cuxhavener_Straße_400
Q108303627	Cuxhavener_Straße_566
