?item	?itemLabel	?coordLabel
<http://www.wikidata.org/entity/Q19259871>	"Außenmühlenteich"@de	"Point(9.977582 53.446778)"
<http://www.wikidata.org/entity/Q106157100>	"Averhoffstraße 38"@de	"Point(10.02516 53.57078)"
<http://www.wikidata.org/entity/Q34378696>	"B-Movie"@de	"Point(9.96123 53.55437)"
<http://www.wikidata.org/entity/Q828953>	"BG Klinikum Hamburg"@de	"Point(10.17652778 53.50666667)"
<http://www.wikidata.org/entity/Q797461>	"Baakenhafen"@de	"Point(10.01111111 53.53888889)"
<http://www.wikidata.org/entity/Q106678336>	"Baakenhafenbrücke"@de	"Point(10.007777777 53.539444444)"
<http://www.wikidata.org/entity/Q59296758>	"Baakenpark"@de	"Point(10.013996 53.537994)"
<http://www.wikidata.org/entity/Q800291>	"Bahnbetriebswerk Hamburg-Altona"@de	"Point(9.934371 53.561418)"
<http://www.wikidata.org/entity/Q800300>	"Bahnbetriebswerk Hamburg-Eidelstedt"@de	"Point(9.88111111 53.60722222)"
<http://www.wikidata.org/entity/Q800299>	"Bahnbetriebswerk Hamburg-Rothenburgsort"@de	"Point(10.063333333 53.533611111)"
<http://www.wikidata.org/entity/Q18670050>	"Bahnbetriebswerk Hamburg-Tiefstack"@de	"Point(10.072519 53.529348)"
<http://www.wikidata.org/entity/Q4732127>	"Bahnhof Allermöhe"@de	"Point(10.158333 53.490278)"
<http://www.wikidata.org/entity/Q19460179>	"Bahnhof Alte Wöhr"@de	"Point(10.035555555 53.5975)"
<http://www.wikidata.org/entity/Q4842883>	"Bahnhof Bahrenfeld"@de	"Point(9.911389 53.56)"
<http://www.wikidata.org/entity/Q19601669>	"Bahnhof Burgwedel"@de	"Point(9.908458 53.647626)"
<http://www.wikidata.org/entity/Q16220834>	"Bahnhof Eidelstedt Zentrum"@de	"Point(9.901151 53.609871)"
<http://www.wikidata.org/entity/Q16220834>	"Bahnhof Eidelstedt Zentrum"@de	"Point(9.90154 53.60997)"
<http://www.wikidata.org/entity/Q5644290>	"Bahnhof Hamburg Airport"@de	"Point(10.006647222 53.632311111)"
<http://www.wikidata.org/entity/Q827138>	"Bahnhof Hamburg Berliner Tor"@de	"Point(10.024933 53.552687)"
<http://www.wikidata.org/entity/Q5274507>	"Bahnhof Hamburg Diebsteich"@de	"Point(9.933889 53.568611)"
<http://www.wikidata.org/entity/Q5353739>	"Bahnhof Hamburg Elbgaustraße"@de	"Point(9.893611 53.6025)"
<http://www.wikidata.org/entity/Q800879>	"Bahnhof Hamburg Holstenstraße"@de	"Point(9.95027778 53.56194444)"
<http://www.wikidata.org/entity/Q80219284>	"Bahnhof Hamburg Jungfernstieg"@de	"Point(9.9925 53.55361111)"
<http://www.wikidata.org/entity/Q800881>	"Bahnhof Hamburg Klosterthor"@de	"Point(10.006667 53.549722)"
<http://www.wikidata.org/entity/Q18752621>	"Bahnhof Hamburg Rübenkamp"@de	"Point(10.033055555 53.606388888)"
<http://www.wikidata.org/entity/Q800880>	"Bahnhof Hamburg Wandsbeker Chaussee"@de	"Point(10.05973 53.57016)"
<http://www.wikidata.org/entity/Q650270>	"Bahnhof Hamburg-Altona"@de	"Point(9.935 53.55194444)"
<http://www.wikidata.org/entity/Q800870>	"Bahnhof Hamburg-Barmbek"@de	"Point(10.044722 53.586944)"
<http://www.wikidata.org/entity/Q320225>	"Bahnhof Hamburg-Bergedorf"@de	"Point(10.20638889 53.48944444)"
<http://www.wikidata.org/entity/Q18173158>	"Bahnhof Hamburg-Bergedorf Süd"@de	"Point(10.212572 53.483432)"
<http://www.wikidata.org/entity/Q328028>	"Bahnhof Hamburg-Eidelstedt"@de	"Point(9.906667 53.595833)"
<http://www.wikidata.org/entity/Q800872>	"Bahnhof Hamburg-Hammerbrook"@de	"Point(10.023611 53.546389)"
<http://www.wikidata.org/entity/Q566812>	"Bahnhof Hamburg-Harburg"@de	"Point(9.991667 53.456111)"
<http://www.wikidata.org/entity/Q246179>	"Bahnhof Hamburg-Harburg Rathaus"@de	"Point(9.98111111 53.46055556)"
<http://www.wikidata.org/entity/Q18748620>	"Bahnhof Hamburg-Hausbruch"@de	"Point(9.893601536 53.472483829)"
<http://www.wikidata.org/entity/Q800874>	"Bahnhof Hamburg-Langenfelde"@de	"Point(9.930833 53.579444)"
<http://www.wikidata.org/entity/Q5644281>	"Bahnhof Hamburg-Neugraben"@de	"Point(9.851389 53.473889)"
<http://www.wikidata.org/entity/Q7229516>	"Bahnhof Hamburg-Poppenbüttel"@de	"Point(10.09388889 53.65222222)"
<http://www.wikidata.org/entity/Q22341410>	"Bahnhof Hamburg-Rahlstedt"@de	"Point(10.15435 53.6048)"
<http://www.wikidata.org/entity/Q22341347>	"Bahnhof Hamburg-Tonndorf"@de	"Point(10.123030555 53.586394444)"
<http://www.wikidata.org/entity/Q800878>	"Bahnhof Hamburg-Wilhelmsburg"@de	"Point(10.006944 53.498889)"
<http://www.wikidata.org/entity/Q800891>	"Bahnhof Hasselbrook"@de	"Point(10.05583333 53.56472222)"
<http://www.wikidata.org/entity/Q5875382>	"Bahnhof Hochkamp"@de	"Point(9.841944 53.561111)"
<http://www.wikidata.org/entity/Q19572551>	"Bahnhof Hoheneichen"@de	"Point(10.068056 53.635556)"
<http://www.wikidata.org/entity/Q19601658>	"Bahnhof Hörgensweg"@de	"Point(9.903541 53.617118)"
<http://www.wikidata.org/entity/Q16220663>	"Bahnhof Iserbrook"@de	"Point(9.81446 53.57642)"
<http://www.wikidata.org/entity/Q19462857>	"Bahnhof Kornweg"@de	"Point(10.054444444 53.6325)"
<http://www.wikidata.org/entity/Q6453924>	"Bahnhof Königstraße"@de	"Point(9.945556 53.548333)"
<http://www.wikidata.org/entity/Q16220800>	"Bahnhof Landwehr"@de	"Point(10.03774 53.56093)"
<http://www.wikidata.org/entity/Q18619271>	"Bahnhof Mittlerer Landweg"@de	"Point(10.131666666 53.497777777)"
<http://www.wikidata.org/entity/Q18619282>	"Bahnhof Nettelnburg"@de	"Point(10.181111111 53.487777777)"
<http://www.wikidata.org/entity/Q800876>	"Bahnhof Ohlsdorf"@de	"Point(10.031389 53.620278)"
<http://www.wikidata.org/entity/Q3266264>	"Bahnhof Reeperbahn"@de	"Point(9.9558 53.5495)"
<http://www.wikidata.org/entity/Q16220502>	"Bahnhof Rissen"@de	"Point(9.75725 53.58316)"
<http://www.wikidata.org/entity/Q16220806>	"Bahnhof Rothenburgsort"@de	"Point(10.04401 53.53841)"
<http://www.wikidata.org/entity/Q19601667>	"Bahnhof Schnelsen"@de	"Point(9.906561 53.634468)"
<http://www.wikidata.org/entity/Q7607259>	"Bahnhof Stellingen"@de	"Point(9.918333 53.589444)"
<http://www.wikidata.org/entity/Q16220573>	"Bahnhof Sülldorf"@de	"Point(9.79757 53.58106)"
<http://www.wikidata.org/entity/Q18619356>	"Bahnhof Tiefstack"@de	"Point(10.065833333 53.531111111)"
<http://www.wikidata.org/entity/Q7917951>	"Bahnhof Veddel (BallinStadt)"@de	"Point(10.013333 53.521667)"
<http://www.wikidata.org/entity/Q19572665>	"Bahnhof Wellingsbüttel"@de	"Point(10.0825 53.641111)"
<http://www.wikidata.org/entity/Q61858609>	"Bahrenfeld"@de	"Point(9.896105555 53.580736111)"
<http://www.wikidata.org/entity/Q1608>	"Bahrenfeld"@de	"Point(9.892511111 53.573838888)"
<http://www.wikidata.org/entity/Q34378713>	"Bali Theater"@de	"Point(10.03975 53.57869)"
<http://www.wikidata.org/entity/Q1610621>	"Ballettschule des Hamburg Ballett"@de	"Point(10.06138889 53.56166667)"
<http://www.wikidata.org/entity/Q60745356>	"Ballhaus Alkazar"@de	"Point(9.96057 53.54972)"
<http://www.wikidata.org/entity/Q60746643>	"Ballhaus Trichter"@de	"Point(9.96819 53.54987)"
<http://www.wikidata.org/entity/Q805262>	"BallinStadt"@de	"Point(10.01694444 53.52055556)"
<http://www.wikidata.org/entity/Q565742>	"Baltische Universität"@de	"Point(9.78667 53.6431)"
<http://www.wikidata.org/entity/Q34378729>	"Bambi Kino"@de	"Point(9.95774 53.55314)"
<http://www.wikidata.org/entity/Q805976>	"Bambule (Wagenplatz)"@de	"Point(9.970899 53.559605)"
<http://www.wikidata.org/entity/Q98023139>	"Bansgraben"@de	"Point(9.954038 53.629795)"
<http://www.wikidata.org/entity/Q265107>	"Barclays Arena"@de	"Point(9.899167 53.589167)"
<http://www.wikidata.org/entity/Q105762407>	"Barlach Halle K"@de	"Point(10.00658 53.549356)"
<http://www.wikidata.org/entity/Q808342>	"Barmbek"@de	"Point(10.041 53.5828)"
<http://www.wikidata.org/entity/Q1138>	"Barmbek-Nord"@de	"Point(10.0480997 53.5988941)"
<http://www.wikidata.org/entity/Q1140>	"Barmbek-Süd"@de	"Point(10.0432506 53.5798851)"
<http://www.wikidata.org/entity/Q808346>	"Barmbeker Stichkanal"@de	"Point(10.03472222 53.58833333)"
<http://www.wikidata.org/entity/Q113407419>	"Bauarbeiter"@de	"Point(10.01571 53.55151)"
