Q106605756	Öjendorfer Damm
Q114808626	Alsenplatz (Hamburg)
Q114808629	Alsenstraße (Hamburg)
Q895601	Alster Northern Railway
Q2651483	Alsterarkaden
Q2651485	Alster-Beste-Kanal
Q106604892	Alsterchaussee
Q106604893	Alsterdorfer Straße
Q1614236	Alsterfleet
Q2651496	Alsterfontaine
Q106604894	Alsterglacis
Q106604845	Alsterkrugchaussee
Q110071974	Alsterpark (Grünanlagen rund um die gestaute Alster)
Q1632185	Alsterring-Gymnasium
Q1314255	Alstertal-Einkaufszentrum
Q106604895	Alsterterrasse
Q50107677	Alstertor
Q106604896	Alstertwiete
Q106604897	Alsterufer
Q110151777	Alsterufer 27, 28
Q107762039	Altbau der Staats- und Universitätsbibliothek Hamburg
Q58808006	Alte Harburger Elbbrücke
Q106604898	Alte Holstenstraße
Q11905165	Alte Kollau
Q106604899	Alte Landstraße (Hamburg)
Q436055	Alte Oberfinanzdirektion Hamburg
Q19964045	Alte Oberschulbehörde
Q103483289	Alte Osterbek
Q436110	Alte Post (Hamburg)
Q106604900	Alte Rabenstraße
Q114808630	Alte Sieker Landstraße
Q76307211	Alte Sudpfanne, Hamburg-St. Pauli
Q106604901	Alte Wöhr
Q106604902	Altengammer Elbdeich
Q28375610	Altenwerder Oberfeuer
Q28375608	Altenwerder Unterfeuer
Q106604903	Alter Berner Weg (Hamburg)
Q11679872	Alter Botanischer Garten Hamburg
Q437844	Alter Elbpark
Q460264	Alter Elbtunnel
Q43405943	Alter Fischmarkt (Hamburg)
Q18616186	Alter Friedhof Harburg
Q43812915	Alter Friedhof Wandsbek
Q437953	Alter Hammer Friedhof
Q98936639	Alter Jaarsmoorgraben
Q438118	Alter Niendorfer Friedhof
Q106604904	Alter Postweg (Hamburg)
Q106604906	Alter Steinweg (Hamburg)
Q106604907	Alter Teichweg
Q438216	Alter Wall (Hamburg)
Q104650747	Alter Wall 2 Hamburg
Q112183792	Alter Wall 38
Q106604908	Alter Wandrahm
Q439225	Altes Hafenamt, Dalmannstraße
Q47504016	Altes Krematorium Hamburg-Alsterdorf
Q86440647	Altes Rathaus Altona
Q26951150	Altes Zollhaus (Hamburg-HafenCity)
Q60475059	Althamburgischer Gedächtnisfriedhof
Q106604909	Altländer Straße (Hamburg)
Q60540092	Altmannbrücke
Q443975	Altonaer Balkon
Q444003	Altonaer Blutsonntag
Q67080057	Altonaer Holzhafen
Q27478664	Altonaer Kaispeicher
Q26156624	Altonaer Kinderkrankenhaus
Q126971	Altonaer Museum
Q444036	Altonaer Rathaus
Q106604910	Altonaer Straße (Hamburg)
Q444049	Altonaer Theater
Q444045	Altonaer Volkspark
Q443903	Altona-Kieler Chaussee
Q443917	Altona-Lübecker Chaussee
Q106604912	Altstädter Straße
Q106604913	Am Alten Posthaus (Hamburg)
Q107453320	Am Baum (Hamburg)
Q107446173	Am Baum 1 (Hamburg)
Q106604914	Am Brunnenhof
Q114808632	Am Burgberg (Hamburg)
Q106604915	Am Centrumshaus (Hamburg)
Q106604917	Am Dalmannkai (Hamburg)
Q106604918	Am Diebsteich (Hamburg)
Q106604919	Am Dulsbergbad
Q106604921	Am Felde (Hamburg)
Q106604923	Am Friedhof (Hamburg)
Q106604924	Am Grasbrookpark (Hamburg)
Q106604926	Am Hünenstein (Hamburg)
Q106604925	Am Hannoverschen Bahnhof
Q106604927	Am Husarendenkmal
Q106604928	Am Lohmühlenpark
Q451352	Am Lohsepark
Q106604930	Am Mariendom (Hamburg)
Q106604932	Am Neumarkt (Hamburg)
Q106604933	Am Ochsenzoll
Q76176795	Am Pfeilshof
Q3398930	Am Rothenbaum
Q106604934	Am Sandtorkai
Q96376285	Am Sandtorkai 1
Q106604935	Am Schulgarten (Hamburg)
Q106604936	Am Schulwald
Q106604937	Am Wall (Hamburg)
Q106604939	Am Weißenberge
Q106604938	Am Weiher (Hamburg)
Q110413539	Amalie-Dietrich-Haus
Q294799	AMD Akademie Mode & Design Düsseldorf
Q106604940	Amelungstraße (Hamburg)
Q108013586	Amerigo-Vespucci-Platz
Q11905356	Ammersbek (Alster)
Q106604941	Amsinckstraße (Hamburg)
Q480735	Amtsgericht Bergedorf
Q110205964	Amtsgericht Blankenese
Q110206015	Amtsgericht Wandsbek
Q106604942	An der Alster
Q106604943	An der Alsterschleife
Q106604944	An der Baumschule
Q108935321	An der Falkenbek 8
Q106604945	An der Glinder Au
Q106604946	An der Kunsthalle
Q106604947	An der Marienanlage
Q106604948	Anckelmannsplatz
Q106604949	Anckelmannstraße
Q106604950	Angerstraße (Hamburg)
Q22940214	Anglo-German Club (Hamburg)
Q106604951	Anne-Frank-Straße (Hamburg)
Q11905669	Annenfleet
Q106604952	Annenstraße (Hamburg)
Q104902154	Annenstraße 3 (Hamburg)
Q106604953	Annie-Kienast-Straße
Q114808634	Anny-Tollens-Weg
Q98608629	Ansgarkirche (Hamburg-Othmarschen)
Q76307936	AntjeBrunnen AlstertalEinkaufszentrum HamburgPoppenbüttel
Q109008225	Anton-Rée-Schule Allermöhe
Q114808637	Anzengruberstraße (Hamburg)
Q295927	AOK Building in Hamburg-Borgfelde
Q108566753	Apostelkirche (Hamburg-Eißendorf)
Q114808638	Arboretum in Hamburg-Poppenbüttel
Q636803	Archäologischer Wanderpfad Fischbeker Heide
Q114808641	Arie-Goral-Platz
Q106604954	Armgartstraße
Q106604956	Arnkielstraße (Hamburg)
Q114808644	Arnoldstraße (Hamburg)
Q878694	Arp-Schnitger-Orgel in der Hauptkirche St. Jacobi in Hamburg
Q106604957	Arp-Schnitger-Stieg
Q732030	Asklepios Klinik Harburg
Q732041	Asklepios Klinik Nord
Q732061	Asklepios Klinik Wandsbek
Q732068	Asklepios Kliniken
Q90803484	Astra-Turm
Q15041844	Atlantic-Haus
Q19259871	Außenmühlenteich
Q106604967	Außenmühlenweg (Hamburg)
Q16240789	Auditorium Maximum (Universität Hamburg)
Q106604958	Auedeich (Hamburg)
Q759120	Auenlandschaft Norderelbe
Q106558963	Aueschule Finkenwerder
Q106604959	Auf dem Felde
Q106604960	Auf dem Sande (Hamburg)
Q106604961	Auf den Blöcken (Hamburg)
Q759617	Auferstehungskirche (Hamburg-Barmbek)
Q108566755	Auferstehungskirche (Hamburg-Lohbrügge)
Q108566756	Auferstehungskirche (Hamburg-Lurup)
Q108566757	Auferstehungskirche (Hamburg-Ohlsdorf)
Q106604962	August-Bebel-Straße (Hamburg)
Q106604964	Augustenburger Straße (Hamburg)
Q50358748	Augustenpassage
Q90669617	August-Hermann-Francke-Schule Bahrenfeld
Q107411958	August-Hermann-Francke-Schule Bergedorf
Q94304450	August-Hermann-Francke-Schule Berne
Q101246779	August-Hermann-Francke-Schule Farmsen
Q83489240	August-Hermann-Francke-Schule Uhlenhorst
Q18410459	Augustinum Hamburg
Q114808648	August-Kirch-Straße
Q106604963	August-Krogmann-Straße
Q106604965	Ausschläger Elbdeich
Q100741724	Ausschläger Elbdeich 3
Q106604966	Ausschläger Weg
Q114808651	Australiastraße
Q10602002	Autobahnbrücke Moorfleet
Q106604968	Avenues in Hamburg
Q106604969	Averhoffstraße
Q106157100	Averhoffstraße 38
Q106604970	Axel-Springer-Platz
Q106604972	Bäckerbreitergang
Q106992065	Bärenallee
Q106604980	Bärenhof (Straße)
Q106605056	Böckmannstraße
Q106605058	Böhmestraße (Hamburg)
Q106605070	Böttcherkamp
Q114808731	Böttgerstraße (Hamburg)
Q1573209	Bücherhallen Hamburg
Q108564266	Bürgerhaus Wilhelmsburg
Q95730040	Bürgerweide (Hamburg)
Q1021738	Büsch-Denkmal
Q114808733	Büschstraße
Q113469856	Büschstraße 7
Q882620	B-515 (submarine, 1976)
Q106604971	Baakenallee
Q797461	Baakenhafen
Q106678336	Baakenhafenbrücke
Q59296758	Baakenpark
Q92206717	Bachstraße (Hamburg)
Q114808655	Badestraße (Hamburg)
Q106604973	Baererstraße (Hamburg)
Q106604974	Bahngärten (Hamburg)
Q800870	Bahnhof Barmbek
Q18173158	Bahnhof Bergedorf Süd
Q827138	Bahnhof Berliner Tor
Q800871	Bahnhof Blankenese
Q328028	Bahnhof Eidelstedt
Q11877023	Bahnhof Elbbrücken
Q634142	Bahnhof Hamburg Dammtor
Q800879	Bahnhof Hamburg Holstenstraße
Q800881	Bahnhof Hamburg Klosterthor
Q5644281	Bahnhof Hamburg Neugraben
Q650270	Bahnhof Hamburg-Altona
Q320225	Bahnhof Hamburg-Bergedorf
Q22341410	Bahnhof Hamburg-Rahlstedt
Q22341347	Bahnhof Hamburg-Tonndorf
Q800877	Bahnhof Hamburg-Wandsbek
Q800891	Bahnhof Hasselbrook
Q80219284	Bahnhof Jungfernstieg
Q8158664	Bahnhof Landungsbrücken
Q800876	Bahnhof Ohlsdorf
Q800880	Bahnhof Wandsbeker Chaussee
Q114808656	Bahrenfelder Chaussee
Q106604975	Bahrenfelder Kirchenweg
Q114808659	Bahrenfelder Marktplatz
Q106604976	Bahrenfelder Steindamm
Q114808661	Bahrenfelder Straße
Q106962783	Balduinstraße (Hamburg)
Q106604977	Ballerstaedtweg
Q874154	Ballettzentrum Hamburg
Q60746643	Ballhaus Trichter (Hamburg)
Q805265	Ballindamm
Q805262	BallinStadt
Q106604978	Banksstraße (Hamburg)
Q98023139	Bansgraben
Q106604979	Barcastraße (Hamburg)
Q265107	Barclaycard Arena (Hamburg)
Q106604981	Barenkrug
Q106604982	Bargteheider Straße (Hamburg)
Q114808663	Barlachstraße (Hamburg)
Q106604983	Barmbeker Markt
Q808346	Barmbeker Stichkanal
Q106604984	Barmbeker Straße (Hamburg)
Q106604985	Baron-Voght-Straße
Q114808665	Bartelsstraße (Hamburg)
Q106604986	Bartholomäusstraße (Hamburg)
Q113407419	Bauarbeiter (Hans M. Ruwoldt; Hamburg)
Q106604987	Bauerberg (Hamburg)
Q111440936	Bauernstegel 3
Q106604988	Baumeisterstraße (Hamburg)
Q15107426	Baumhaus (Hamburg)
Q15052040	Baumwall
Q114808667	Bauvereinsweg (Hamburg)
Q813228	Beatles-Platz
Q106604990	Bebelallee (Hamburg)
Q63092260	Beckstraße (Hamburg)
Q114808669	Beerentalweg
Q58370246	Beesenlandbrücke
Q106604991	Beethovenstraße (Hamburg)
Q814528	Behnbrunnen
Q106604992	Behringstraße (Hamburg)
Q106604993	Bei den Mühren
Q112921066	Bei den St. Pauli-Landungsbrücken
Q106604994	Bei der Apostelkirche
Q106604995	Bei der Christuskirche
Q106604996	Bei der Flottbeker Kirche
Q106604997	Bei der Flottbeker Mühle
Q106604998	Bei der Friedenseiche
Q106604999	Bei der Hauptfeuerwache
Q106605000	Bei der Johanniskirche
Q106605001	Bei der Lutherbuche
Q106605002	Bei der Matthäuskirche (Hamburg)
Q106605003	Bei der Paul-Gerhardt-Kirche
Q106605004	Bei der St. Gertrudkirche
Q106605005	Bei Schuldts Stift
Q106605006	Bei St. Annen (Hamburg)
Q106605007	Bei St. Johannis (Hamburg)
Q106605008	Beim Alten Schützenhof
Q106605009	Beim Andreasbrunnen
Q106605010	Beim Berliner Tor
Q106605011	Beim Grünen Jäger
Q106605012	Beim Jacobjstift
Q106605013	Beim Rauhen Hause
Q106605014	Beim Schäferhof
Q106605015	Beim Schlump
Q106605016	Beim Strohhause
Q106605017	Bekassinenau
Q104322791	Bekenbach
Q106605018	Bekkamp (Hamburg)
Q106605019	Bellealliancestraße
Q106605020	Bellevue (Hamburg)
Q28604520	Bellevuebrücke
Q106605021	Beltgens Garten
Q106605023	Bendixensweg
Q12307568	Benediktekirche (Dänische Seemannskirche), Hamburg
Q114808671	Bennigsenstraße (Hamburg)
Q62567337	Benque & Kindermann
Q819489	Bergedorfer Gehölz
Q106605024	Bergedorfer Markt
Q106605026	Bergedorfer Schloßstraße
Q106678124	Bergedorfer Schlossgarten
Q114808673	Bergedorfer Straße (Hamburg)
Q57548329	Bergedorfer Windmühle
Q106605027	Bergkoppelweg (Hamburg)
Q106605028	Bergmannstraße (Hamburg)
Q106992068	Bergstedter Alte Landstraße
Q106605029	Bergstedter Chaussee
Q56088097	Bergstedter Graben
Q820252	Bergstedter Kirche
Q106605030	Bergstedter Markt
Q106605031	Bergstraße (Hamburg)
Q820483	Bergwerk Robertshall
Q1572879	Berliner Bahnhof (Hamburg)
Q4707909	Berliner Bogen
Q106605032	Berliner Tor (Hamburg)
Q106605033	Berlinertordamm
Q106605034	Bernadottestraße (Hamburg)
Q106605035	Berner Allee
Q328823	Berner Au
Q28124853	Berner Gutspark
Q106605036	Berner Heerweg
Q111203537	Berner Heerweg 187
Q106605037	Berner Weg
Q617048	Bernhard-Nocht-Institut für Tropenmedizin
Q20050223	Bernhard-Nocht-Straße
Q106605038	Bernstorffstraße (Hamburg)
Q100874607	Berufliche Schule City Nord
Q109469101	Berufliche Schule für Spedition, Logistik & Verkehr
Q24283619	Berufliche Schule für Wirtschaft Hamburg-Eimsbüttel
Q98271592	Berufliche Schule Fahrzeugtechnik
Q101525810	Berufliche Schule Farmsen
Q109560536	Berufliche Schule St. Pauli
Q106778699	Berufliche Schule Stahl- und Maschinenbau
Q828953	Berufsgenossenschaftliches Unfallkrankenhaus Hamburg
Q105723361	Berufsschule Billwerder Billdeich 614
Q105723401	Berufsschule Billwerder Billdeich 620
Q105723288	Berufsschule Billwerder Billdeich 622
Q106519847	Berufsschule Dratelnstraße 24
Q106519857	Berufsschule Dratelnstraße 26
Q106519866	Berufsschule Dratelnstraße 28
Q101477189	Berufsschule Hermelinweg
Q107389814	Berufsschule Reichsbahnstraße
Q106395065	Berufsschule Richardstraße
Q114808675	Beselerplatz
Q18616700	Besenbinderhof
Q106605039	Bethesdastraße (Hamburg)
Q831313	Bethlehem-Kirche (Hamburg-Eimsbüttel)
Q61409678	Bieberhaus
Q114808677	Bieberstraße (Hamburg)
Q106605040	Biedermannplatz
Q108344871	Bildungszentrum für Blinde und Sehbehinderte
Q106605041	Billbrookdeich
Q11909384	Billbrookkanal
Q11909383	Billekanal
Q114808679	Billhorner Brückenstraße
Q114808682	Billstedter Hauptstraße
Q106605042	Billstraße (Hamburg)
Q106605043	Billwerder Billdeich
Q106640704	Billwerder Billdeich 424
Q109676079	Billwerder Bucht
Q114808684	Billwerder Straße
Q106605044	Binderstraße (Hamburg)
Q106605045	Bindfeldweg
Q3238460	Binnenalster
Q106605046	Binnenfeldredder
Q863909	Binnenhafen (Hamburg)
Q21199010	Biosphärenreservat Hamburgisches Wattenmeer
Q800176	Birdland (Hamburg)
Q866205	Bischofsturm (Hamburg)
Q540460	Bismarck-Denkmal (Hamburg)
Q106605047	Bismarckstraße (Hamburg)
Q880257	Black Form – Dedicated to the Missing Jews (Sol LeWitt)
Q1340048	Blankenese Oberfeuer
Q2151324	Blankenese range lights
Q1821466	Blankenese Unterfeuer
Q106605048	Blankeneser Bahnhofstraße
Q106605049	Blankeneser Hauptstraße
Q881579	Blankeneser Kirche
Q106605050	Blankeneser Landstraße
Q19275518	Bleichenbrücke
Q106605051	Bleichenbrücke (street)
Q106605052	Bleicherstraße (Hamburg)
Q63439545	Blohm + Voss yard
Q19835553	Blohms Park
Q106605053	Blumenau (Hamburg)
Q106605054	Blumenstraße (Hamburg)
Q114808699	Boßdorfstraße (Hamburg)
Q114808686	Boberger Furtweg
Q109347064	Boberger Furtweg 1
Q1970851	Boberger Niederung
Q888737	Boberger See
Q106605055	Bochumer Weg (Hamburg)
Q108566758	Bodelschwingh-Kirche (Hamburg-Winterhude)
Q19275580	Boehn-Kaserne (Hamburg)
Q106605057	Bogenstraße (Hamburg)
Q108342432	Bolivarpark (Harvestehude)
Q114808688	Bonifatiusplatz (Hamburg)
Q106605059	Bonifatiusstraße (Hamburg)
Q106605060	Borchertring
Q106605061	Borgesch (Hamburg)
Q106605062	Borgfelder Allee (Hamburg)
Q106605063	Borgfelder Straße (Hamburg)
Q1658840	Borghorster Elblandschaft
Q106605064	Borgweg (Hamburg)
Q20107744	Bornbach (Tarpenbek)
Q106605065	Bornemannstraße (Hamburg)
Q106605066	Borner Stieg
Q106605067	Bornheide (Hamburg)
Q106605068	Bornkampsweg (Hamburg)
Q114808691	Bornstraße (Hamburg)
Q98068876	Bornweggraben
Q58070302	Borsigbrücke (Hamburg)
Q114808693	Borsigstraße (Hamburg)
Q114808695	Borsteler Chaussee
Q114808697	Borstelmannsweg
Q106605069	Bostelreihe
Q613250	Botanischer Garten Hamburg
Q14906471	Bovehaus (Hamburg-Wandsbek)
Q106605071	Bovestraße
Q106605072	Bozenhardweg
Q106605087	Brödermannsweg
Q58804215	Brücke des 17. Juni (Hamburg)
Q96309255	Brüder-Grimm-Schule (Hamburg)
Q996802	Brüderstraße (Hamburg)
Q106605073	Braamkamp
Q65657978	Brabandbrücke
Q11909931	Brabandkanal
Q897345	Brahms Kontor
Q114808701	Brahmsallee (Hamburg)
Q28745374	Brahms-Museum
Q106605074	Bramfelder Chaussee
Q23785419	Bramfelder Dorfgraben
Q114808703	Bramfelder Dorfplatz
Q108105595	Bramfelder Dorfplatz 1
Q897573	Bramfelder See
Q14540498	Bramfelder Straße
Q111034798	Bramfelder Straße 157
Q897571	Bramfelder SV
Q106605075	Bramfelder Weg
Q114808705	Brandshofer Deich
Q63562647	Brandshofer Schleuse
Q898309	Brandstwiete
Q114808707	Brauerstraße (Hamburg)
Q106605076	Brauhausstraße (Hamburg)
Q65998730	Brecht-Schule (Hamburg)
Q882922	Bredenbek (Alster)
Q106605077	Bredenbekstraße
Q106605078	Brehmweg (Hamburg)
Q114808709	Breite Straße (Hamburg)
Q106605079	Breitenfelder Straße (Hamburg)
Q106605080	Breiter Gang (Hamburg)
Q106605081	Brekelbaums Park
Q106605082	Bremer Reihe
Q106605083	Bremer Straße (Hamburg)
Q114808711	Bremers Weg
Q106605084	Brennerstraße (Hamburg)
Q114808714	Breslauer Straße (Hamburg)
Q1572999	Bridges over the Elbe in Hamburg
Q106605085	Brockdorffstraße
Q106605086	Brockesstraße (Hamburg)
Q108566760	Broder-Hinrick-Kirche (Hamburg-Langenhorn)
Q106605088	Brombeerweg
Q106605089	Brook (Hamburg)
Q96973833	Brookgraben
Q98075493	Brookkampsgraben
Q96376611	Brooksfleet
Q990608	Brookwetterung
Q990681	Broschekhaus
Q106605090	Brucknerstraße (Hamburg)
Q106605091	Bruno-Georges-Platz
Q114808716	Brunsberg (Hamburg)
Q106605092	Brunsstraße (Hamburg)
Q1821452	Bubendey-Ufer Oberfeuer
Q1821467	Bubendey-Ufer Unterfeuer
Q114808718	Bubendeyweg
Q877566	Bucerius Kunst Forum
Q114808721	Buchheisterstraße
Q100774814	Buckhoopgraben
Q114808723	Buckhorn (Hamburg)
Q1000672	Budapester Straße (Hamburg)
Q1001375	Budge-Palais
Q106605093	Buenos-Aires-Kai (Hamburg)
Q1002408	Bugenhagenkirche (Hamburg-Barmbek)
Q108566761	Bugenhagenkirche (Hamburg-Bergedorf)
Q78907266	Bugenhagenschule Alsterdorf
Q94371090	Bugenhagenschule Blankenese
Q93338233	Bugenhagenschule Groß Flottbek
Q92385985	Bugenhagenschule Hamm
Q88265899	Bugenhagenschule Ottensen
Q114808726	Bugenhagenstraße (Hamburg)
Q28739878	Building of the Patriotische Gesellschaft von 1765
Q106605094	Bullenhuser Damm
Q11910168	Bullenhuser Kanal
Q106605095	Bullerdeich
Q107659584	Bult 10 (Hamburg)
Q106605096	Bunatwiete
Q17036	Bundesautobahn 253
Q106605097	Bundesstraße (Hamburg)
Q55869	Bundesstraße 207
Q34446	Bundesstraße 4
Q101992297	Bundesstraße 41 (Hamburg)
Q882422	Bundesstraße 431
Q879304	Bundesstraße 432
Q1007125	Bundesstraße 433
Q1007119	Bundesstraße 434
Q1007130	Bundesstraße 435
Q1007157	Bundesstraße 447
Q52720	Bundesstraße 73
Q52722	Bundesstraße 75
Q1009270	Bundeswehrkrankenhaus Hamburg
Q2664261	Bunthäuser Spitze
Q114808728	Burchardplatz
Q106605099	Burchardstraße (Hamburg)
Q19276057	Burgruine Henneberg (Nachbildung)
Q106605100	Burgstraße (Hamburg)
Q106605101	Burgunderweg (Hamburg)
Q98347349	Burgwedelau
Q98314152	Busanbrücke
Q3647646	Bust of Alessandro Peretti di Montalto (Bernini)
Q106605102	Buxtehuder Straße (Hamburg)
Q19798476	Café Andersen
Q1025623	Café Keese (Hamburg)
Q104860490	Café Seeterrassen
Q33926956	Caffamacherreihe
Q105547318	Campus Hebebrandstraße
Q114345313	Campus Tower (Hamburg)
Q108566762	Cantate-Kirche (Hamburg-Duvenstedt)
Q114808735	Caracasweg
Q56640733	Carl Philipp Emanuel Bach Museum, Hamburg
Q75514844	Carl-Cohn-Schule
Q106605104	Carl-Cohn-Straße
Q79044985	Carl-Götze-Schule
Q106605105	Carl-Petersen-Straße (Hamburg)
Q1036600	Carl-Schultze-Theater
Q1036637	Carl-von-Ossietzky-Gymnasium (Hamburg)
Q106605106	Carl-von-Ossietzky-Platz (Hamburg)
Q106605107	Carsten-Rehder-Straße
Q106605108	Caspar-Voght-Straße (Hamburg)
Q190383	Central bus station Hamburg
Q1054368	Centrum-Moschee (Hamburg)
Q62998711	Channel Hamburg Tower
Q106605109	Chapeaurougeweg
Q106605110	Charlottenburger Straße (Hamburg)
Q1067082	Charlotte-Paulsen-Gymnasium
Q106605111	Chateauneufstraße
Q106605112	Chaussee in Hamburg
Q106605113	Chemnitzstraße (Hamburg)
Q542783	Chilehaus
Q317150	Christianeum
Q106605114	Christian-Förster-Straße
Q56426100	Christian-Morgenstern-Schule (Hamburg)
Q1082972	Christianskirche (Hamburg-Ottensen)
Q61310657	Christ-König-Kirche (Hamburg-Lokstedt)
Q23041392	Christmas markets in Hamburg
Q15794346	Christoph Hansa (air ambulance)
Q25104624	Christopher Street Day in Hamburg
Q108566763	Christopherus-Kirche (Hamburg-Bergedorf)
Q20754121	Christophorus-Kirche (Hamburg-Hummelsbüttel)
Q106653192	Christophorus-Schule (Hamburg)
Q114808738	Christoph-Probst-Weg (Hamburg)
Q108566765	Christuskirche (Hamburg-Eidelstedt)
Q1087322	Christuskirche (Hamburg-Eimsbüttel)
Q1087323	Christuskirche (Hamburg-Hamm)
Q1087320	Christuskirche (Hamburg-Othmarschen)
Q1087331	Christuskirche (Hamburg-Wandsbek)
Q108566764	Christuskirche Altona
Q106605115	Chrysanderstraße
Q110226251	Chrysanderstraße 4
Q1093777	City-Center Bergedorf
Q19277450	City-Hof
Q21036574	City-Nord-Park
Q321980	City-S-Bahn
Q65891936	Clara-Grunwald-Schule (Hamburg)
Q106605116	Claudiusstraße (Hamburg)
Q114808740	Claus-Ferck-Straße
Q1098963	Claussen-Simon-Stiftung
Q106605117	Clemens-Schultz-Straße
Q1103179	Club de Sade
Q1110928	Colonnaden
Q896114	Congress Center Hamburg
Q5164573	Consulate General of the United States in Hamburg
Q62092128	Consulate-General of Japan, Hamburg
Q1128491	Container Terminal Altenwerder
Q14538517	Container Terminal Burchardkai
Q1128489	Container Terminal Tollerort
Q106605118	Cordesweg
Q108566766	Cornelius-Kirche (Hamburg-Neugraben-Fischbek)
Q1134922	Corps Irminsul
Q114808743	Corveystraße (Hamburg)
Q821065	Cremon (street)
Q23984396	Cremon 11
Q87648655	Cremonbrücke
Q87412854	Critical Mass in Hamburg
Q106605120	Curschmannstraße (Hamburg)
Q114808745	Curslacker Deich
Q109600947	Curslacker Deich 140
Q114808748	Curslacker Heerweg
Q110598500	Curslacker Heerweg 1
Q114808750	Curslacker Neuer Deich
Q106605121	Cuxhavener Straße (Hamburg)
Q113494406	Cuxhavener Straße 400
Q108303627	Cuxhavener Straße 566
Q97456403	Cycling in Hamburg
Q106605149	Dörpsweg (Hamburg)
Q20107943	Dübwischgraben
Q20107947	Düngelau
Q877305	Düpenau
Q106605158	Düppelstraße (Hamburg)
Q106605162	Düsternstraße (Hamburg)
Q28314183	Dag-Hammarskjöld-Brücke
Q106605122	Daimlerstraße (Hamburg)
Q1157804	Dalbek
Q106605123	Dalmannkai
Q30112705	Dammbrücke
Q1158671	Dammtor
Q106605124	Dammtordamm
Q27729245	Dammtorstraße
Q106605125	Dammtorwall
Q101513784	Dankeskirche (Hamburg-Rahlstedt)
Q59689078	Dankeskirche Hamm-Süd (Hamburg-Hamm)
Q109329438	Danske Hus (Hamburg)
Q106605126	Danziger Straße (Hamburg)
Q106605127	Dar-es-Salaam-Platz
Q876959	Das Schiff (ship, 1912)
Q47003628	Davidstraße
Q828629	Deepenhorngraben
Q108691310	Deepenwiesengraben
Q106605128	Dehnhaide (Hamburg)
Q1183151	Deichstraße (Hamburg)
Q113455861	Deichstraße 19 (Hamburg-Altstadt)
Q114773784	Deichstraße 37 (Althamburger Bürgerhaus)
Q106188753	Deichtor-Center
Q1183156	Deichtorhallen
Q113160710	Deichtortunnel
Q106605130	Delingsdorfer Weg
Q1495180	Demolition of the HEW power station in Hamburg-Moorburg
Q107183590	Dempwolffstraße
Q55833210	Denickestraße (Hamburg)
Q106605132	Denksteinweg
Q106605133	Depenau (Hamburg)
Q1191587	Deponie Hamburg-Georgswerder
Q106605134	Desenißstraße
