Q106605756	Category:%C3%96jendorfer_Damm
Q60475059	Category:Althamburgischer_Ged%C3%A4chtnisfriedhof
Q106604909	Category:Altl%C3%A4nder_Stra%C3%9Fe_(Hamburg)
Q60540092	Category:Altmannbr%C3%BCcke
Q443975	Category:Altonaer_Balkon
Q444003	Category:Altonaer_Blutsonntag
Q67080057	Category:Altonaer_Holzhafen
Q27478664	Category:Altonaer_Kaispeicher
Q26156624	Category:Altonaer_Kinderkrankenhaus
Q126971	Category:Altonaer_Museum
Q444036	Category:Altonaer_Rathaus
Q106604910	Category:Altonaer_Stra%C3%9Fe_(Hamburg)
Q444049	Category:Altonaer_Theater
Q444045	Category:Altonaer_Volkspark
Q443903	Category:Altona-Kieler_Chaussee
Q443917	Category:Altona-L%C3%BCbecker_Chaussee
Q106604912	Category:Altst%C3%A4dter_Stra%C3%9Fe
Q106604913	Category:Am_Alten_Posthaus_(Hamburg)
Q107453320	Category:Am_Baum_(Hamburg)
Q107446173	Category:Am_Baum_1_(Hamburg)
Q106604914	Category:Am_Brunnenhof
Q114808632	Category:Am_Burgberg_(Hamburg)
Q106604915	Category:Am_Centrumshaus_(Hamburg)
Q106604917	Category:Am_Dalmannkai_(Hamburg)
Q106604918	Category:Am_Diebsteich_(Hamburg)
Q106604919	Category:Am_Dulsbergbad
Q106604921	Category:Am_Felde_(Hamburg)
Q106604923	Category:Am_Friedhof_(Hamburg)
Q106604924	Category:Am_Grasbrookpark_(Hamburg)
Q106604926	Category:Am_H%C3%BCnenstein_(Hamburg)
Q106604925	Category:Am_Hannoverschen_Bahnhof
Q106604927	Category:Am_Husarendenkmal
Q106604928	Category:Am_Lohm%C3%BChlenpark
Q451352	Category:Am_Lohsepark
Q106604930	Category:Am_Mariendom_(Hamburg)
Q106604932	Category:Am_Neumarkt_(Hamburg)
Q106604933	Category:Am_Ochsenzoll
Q76176795	Category:Am_Pfeilshof
Q3398930	Category:Am_Rothenbaum
Q106604934	Category:Am_Sandtorkai
Q96376285	Category:Am_Sandtorkai_1
Q106604935	Category:Am_Schulgarten_(Hamburg)
Q106604936	Category:Am_Schulwald
Q106604937	Category:Am_Wall_(Hamburg)
Q106604939	Category:Am_Wei%C3%9Fenberge
Q106604938	Category:Am_Weiher_(Hamburg)
Q110413539	Category:Amalie-Dietrich-Haus
Q294799	Category:AMD_Akademie_Mode_%26_Design_D%C3%BCsseldorf
Q106604940	Category:Amelungstra%C3%9Fe_(Hamburg)
Q108013586	Category:Amerigo-Vespucci-Platz
Q11905356	Category:Ammersbek_(Alster)
Q106604941	Category:Amsinckstra%C3%9Fe_(Hamburg)
Q480735	Category:Amtsgericht_Bergedorf
Q110205964	Category:Amtsgericht_Blankenese
Q110206015	Category:Amtsgericht_Wandsbek
Q106604942	Category:An_der_Alster
Q106604943	Category:An_der_Alsterschleife
Q106604944	Category:An_der_Baumschule
Q108935321	Category:An_der_Falkenbek_8
Q106604945	Category:An_der_Glinder_Au
Q106604946	Category:An_der_Kunsthalle
Q106604947	Category:An_der_Marienanlage
Q106604948	Category:Anckelmannsplatz
Q106604949	Category:Anckelmannstra%C3%9Fe
Q106604950	Category:Angerstra%C3%9Fe_(Hamburg)
Q22940214	Category:Anglo-German_Club_(Hamburg)
Q106604951	Category:Anne-Frank-Stra%C3%9Fe_(Hamburg)
Q11905669	Category:Annenfleet
Q106604952	Category:Annenstra%C3%9Fe_(Hamburg)
Q104902154	Category:Annenstra%C3%9Fe_3_(Hamburg)
Q106604953	Category:Annie-Kienast-Stra%C3%9Fe
Q114808634	Category:Anny-Tollens-Weg
Q98608629	Category:Ansgarkirche_(Hamburg-Othmarschen)
Q76307936	Category:AntjeBrunnen_AlstertalEinkaufszentrum_HamburgPoppenb%C3%BCttel
Q109008225	Category:Anton-R%C3%A9e-Schule_Allerm%C3%B6he
Q114808637	Category:Anzengruberstra%C3%9Fe_(Hamburg)
Q295927	Category:AOK_Building_in_Hamburg-Borgfelde
Q108566753	Category:Apostelkirche_(Hamburg-Ei%C3%9Fendorf)
Q114808638	Category:Arboretum_in_Hamburg-Poppenb%C3%BCttel
Q636803	Category:Arch%C3%A4ologischer_Wanderpfad_Fischbeker_Heide
Q114808641	Category:Arie-Goral-Platz
Q106604954	Category:Armgartstra%C3%9Fe
Q106604956	Category:Arnkielstra%C3%9Fe_(Hamburg)
Q114808644	Category:Arnoldstra%C3%9Fe_(Hamburg)
Q878694	Category:Arp-Schnitger-Orgel_in_der_Hauptkirche_St._Jacobi_in_Hamburg
Q106604957	Category:Arp-Schnitger-Stieg
Q732030	Category:Asklepios_Klinik_Harburg
Q732041	Category:Asklepios_Klinik_Nord
Q732061	Category:Asklepios_Klinik_Wandsbek
Q732068	Category:Asklepios_Kliniken
Q90803484	Category:Astra-Turm
Q15041844	Category:Atlantic-Haus
Q19259871	Category:Au%C3%9Fenm%C3%BChlenteich
Q106604967	Category:Au%C3%9Fenm%C3%BChlenweg_(Hamburg)
Q16240789	Category:Auditorium_Maximum_(Universit%C3%A4t_Hamburg)
Q106604958	Category:Auedeich_(Hamburg)
Q759120	Category:Auenlandschaft_Norderelbe
Q106558963	Category:Aueschule_Finkenwerder
Q106604959	Category:Auf_dem_Felde
Q106604960	Category:Auf_dem_Sande_(Hamburg)
Q106604961	Category:Auf_den_Bl%C3%B6cken_(Hamburg)
Q759617	Category:Auferstehungskirche_(Hamburg-Barmbek)
Q108566755	Category:Auferstehungskirche_(Hamburg-Lohbr%C3%BCgge)
Q108566756	Category:Auferstehungskirche_(Hamburg-Lurup)
Q108566757	Category:Auferstehungskirche_(Hamburg-Ohlsdorf)
Q106604962	Category:August-Bebel-Stra%C3%9Fe_(Hamburg)
Q106604964	Category:Augustenburger_Stra%C3%9Fe_(Hamburg)
Q50358748	Category:Augustenpassage
Q90669617	Category:August-Hermann-Francke-Schule_Bahrenfeld
Q107411958	Category:August-Hermann-Francke-Schule_Bergedorf
Q94304450	Category:August-Hermann-Francke-Schule_Berne
Q101246779	Category:August-Hermann-Francke-Schule_Farmsen
Q83489240	Category:August-Hermann-Francke-Schule_Uhlenhorst
Q18410459	Category:Augustinum_Hamburg
Q114808648	Category:August-Kirch-Stra%C3%9Fe
Q106604963	Category:August-Krogmann-Stra%C3%9Fe
Q106604965	Category:Ausschl%C3%A4ger_Elbdeich
Q100741724	Category:Ausschl%C3%A4ger_Elbdeich_3
Q106604966	Category:Ausschl%C3%A4ger_Weg
Q114808651	Category:Australiastra%C3%9Fe
Q10602002	Category:Autobahnbr%C3%BCcke_Moorfleet
Q106604968	Category:Avenues_in_Hamburg
Q106604969	Category:Averhoffstra%C3%9Fe
Q106157100	Category:Averhoffstra%C3%9Fe_38
Q106604970	Category:Axel-Springer-Platz
Q106604972	Category:B%C3%A4ckerbreitergang
Q106992065	Category:B%C3%A4renallee
Q106604980	Category:B%C3%A4renhof_(Stra%C3%9Fe)
Q106605056	Category:B%C3%B6ckmannstra%C3%9Fe
Q106605058	Category:B%C3%B6hmestra%C3%9Fe_(Hamburg)
Q106605070	Category:B%C3%B6ttcherkamp
Q114808731	Category:B%C3%B6ttgerstra%C3%9Fe_(Hamburg)
Q1573209	Category:B%C3%BCcherhallen_Hamburg
Q108564266	Category:B%C3%BCrgerhaus_Wilhelmsburg
Q95730040	Category:B%C3%BCrgerweide_(Hamburg)
Q1021738	Category:B%C3%BCsch-Denkmal
Q114808733	Category:B%C3%BCschstra%C3%9Fe
Q113469856	Category:B%C3%BCschstra%C3%9Fe_7
Q882620	Category:B-515_(submarine,_1976)
Q106604971	Category:Baakenallee
Q797461	Category:Baakenhafen
Q106678336	Category:Baakenhafenbr%C3%BCcke
Q59296758	Category:Baakenpark
Q92206717	Category:Bachstra%C3%9Fe_(Hamburg)
Q114808655	Category:Badestra%C3%9Fe_(Hamburg)
Q106604973	Category:Baererstra%C3%9Fe_(Hamburg)
Q106604974	Category:Bahng%C3%A4rten_(Hamburg)
Q800870	Category:Bahnhof_Barmbek
Q18173158	Category:Bahnhof_Bergedorf_S%C3%BCd
Q827138	Category:Bahnhof_Berliner_Tor
Q800871	Category:Bahnhof_Blankenese
Q328028	Category:Bahnhof_Eidelstedt
Q11877023	Category:Bahnhof_Elbbr%C3%BCcken
Q634142	Category:Bahnhof_Hamburg_Dammtor
Q800879	Category:Bahnhof_Hamburg_Holstenstra%C3%9Fe
Q800881	Category:Bahnhof_Hamburg_Klosterthor
Q5644281	Category:Bahnhof_Hamburg_Neugraben
Q650270	Category:Bahnhof_Hamburg-Altona
Q320225	Category:Bahnhof_Hamburg-Bergedorf
Q22341410	Category:Bahnhof_Hamburg-Rahlstedt
Q22341347	Category:Bahnhof_Hamburg-Tonndorf
Q800877	Category:Bahnhof_Hamburg-Wandsbek
Q800891	Category:Bahnhof_Hasselbrook
Q80219284	Category:Bahnhof_Jungfernstieg
Q8158664	Category:Bahnhof_Landungsbr%C3%BCcken
Q800876	Category:Bahnhof_Ohlsdorf
Q800880	Category:Bahnhof_Wandsbeker_Chaussee
Q114808656	Category:Bahrenfelder_Chaussee
Q106604975	Category:Bahrenfelder_Kirchenweg
Q114808659	Category:Bahrenfelder_Marktplatz
Q106604976	Category:Bahrenfelder_Steindamm
Q114808661	Category:Bahrenfelder_Stra%C3%9Fe
Q106962783	Category:Balduinstra%C3%9Fe_(Hamburg)
Q106604977	Category:Ballerstaedtweg
Q874154	Category:Ballettzentrum_Hamburg
Q60746643	Category:Ballhaus_Trichter_(Hamburg)
Q805265	Category:Ballindamm
Q805262	Category:BallinStadt
Q106604978	Category:Banksstra%C3%9Fe_(Hamburg)
Q98023139	Category:Bansgraben
Q106604979	Category:Barcastra%C3%9Fe_(Hamburg)
Q265107	Category:Barclaycard_Arena_(Hamburg)
Q106604981	Category:Barenkrug
Q106604982	Category:Bargteheider_Stra%C3%9Fe_(Hamburg)
Q114808663	Category:Barlachstra%C3%9Fe_(Hamburg)
Q106604983	Category:Barmbeker_Markt
Q808346	Category:Barmbeker_Stichkanal
Q106604984	Category:Barmbeker_Stra%C3%9Fe_(Hamburg)
Q106604985	Category:Baron-Voght-Stra%C3%9Fe
Q114808665	Category:Bartelsstra%C3%9Fe_(Hamburg)
Q106604986	Category:Bartholom%C3%A4usstra%C3%9Fe_(Hamburg)
Q113407419	Category:Bauarbeiter_(Hans_M._Ruwoldt;_Hamburg)
Q106604987	Category:Bauerberg_(Hamburg)
Q111440936	Category:Bauernstegel_3
Q106604988	Category:Baumeisterstra%C3%9Fe_(Hamburg)
Q15107426	Category:Baumhaus_(Hamburg)
Q15052040	Category:Baumwall
Q114808667	Category:Bauvereinsweg_(Hamburg)
Q813228	Category:Beatles-Platz
Q106604990	Category:Bebelallee_(Hamburg)
Q63092260	Category:Beckstra%C3%9Fe_(Hamburg)
Q114808669	Category:Beerentalweg
Q58370246	Category:Beesenlandbr%C3%BCcke
Q106604991	Category:Beethovenstra%C3%9Fe_(Hamburg)
Q814528	Category:Behnbrunnen
Q106604992	Category:Behringstra%C3%9Fe_(Hamburg)
Q106604993	Category:Bei_den_M%C3%BChren
Q112921066	Category:Bei_den_St._Pauli-Landungsbr%C3%BCcken
Q106604994	Category:Bei_der_Apostelkirche
Q106604995	Category:Bei_der_Christuskirche
Q106604996	Category:Bei_der_Flottbeker_Kirche
Q106604997	Category:Bei_der_Flottbeker_M%C3%BChle
Q106604998	Category:Bei_der_Friedenseiche
Q106604999	Category:Bei_der_Hauptfeuerwache
Q106605000	Category:Bei_der_Johanniskirche
Q106605001	Category:Bei_der_Lutherbuche
Q106605002	Category:Bei_der_Matth%C3%A4uskirche_(Hamburg)
Q106605003	Category:Bei_der_Paul-Gerhardt-Kirche
Q106605004	Category:Bei_der_St._Gertrudkirche
Q106605005	Category:Bei_Schuldts_Stift
Q106605006	Category:Bei_St._Annen_(Hamburg)
Q106605007	Category:Bei_St._Johannis_(Hamburg)
Q106605008	Category:Beim_Alten_Sch%C3%BCtzenhof
Q106605009	Category:Beim_Andreasbrunnen
Q106605010	Category:Beim_Berliner_Tor
Q106605011	Category:Beim_Gr%C3%BCnen_J%C3%A4ger
Q106605012	Category:Beim_Jacobjstift
Q106605013	Category:Beim_Rauhen_Hause
Q106605014	Category:Beim_Sch%C3%A4ferhof
Q106605015	Category:Beim_Schlump
Q106605016	Category:Beim_Strohhause
Q106605017	Category:Bekassinenau
Q104322791	Category:Bekenbach
Q106605018	Category:Bekkamp_(Hamburg)
Q106605019	Category:Bellealliancestra%C3%9Fe
Q106605020	Category:Bellevue_(Hamburg)
Q28604520	Category:Bellevuebr%C3%BCcke
Q106605021	Category:Beltgens_Garten
Q106605023	Category:Bendixensweg
Q12307568	Category:Benediktekirche_(D%C3%A4nische_Seemannskirche),_Hamburg
Q114808671	Category:Bennigsenstra%C3%9Fe_(Hamburg)
Q62567337	Category:Benque_%26_Kindermann
Q819489	Category:Bergedorfer_Geh%C3%B6lz
Q106605024	Category:Bergedorfer_Markt
Q106605026	Category:Bergedorfer_Schlo%C3%9Fstra%C3%9Fe
Q106678124	Category:Bergedorfer_Schlossgarten
Q114808673	Category:Bergedorfer_Stra%C3%9Fe_(Hamburg)
Q57548329	Category:Bergedorfer_Windm%C3%BChle
Q106605027	Category:Bergkoppelweg_(Hamburg)
Q106605028	Category:Bergmannstra%C3%9Fe_(Hamburg)
Q106992068	Category:Bergstedter_Alte_Landstra%C3%9Fe
Q106605029	Category:Bergstedter_Chaussee
Q56088097	Category:Bergstedter_Graben
Q820252	Category:Bergstedter_Kirche
Q106605030	Category:Bergstedter_Markt
Q106605031	Category:Bergstra%C3%9Fe_(Hamburg)
Q820483	Category:Bergwerk_Robertshall
Q1572879	Category:Berliner_Bahnhof_(Hamburg)
Q4707909	Category:Berliner_Bogen
Q106605032	Category:Berliner_Tor_(Hamburg)
Q106605033	Category:Berlinertordamm
Q106605034	Category:Bernadottestra%C3%9Fe_(Hamburg)
Q106605035	Category:Berner_Allee
Q328823	Category:Berner_Au
Q28124853	Category:Berner_Gutspark
Q106605036	Category:Berner_Heerweg
Q111203537	Category:Berner_Heerweg_187
Q106605037	Category:Berner_Weg
Q617048	Category:Bernhard-Nocht-Institut_f%C3%BCr_Tropenmedizin
Q20050223	Category:Bernhard-Nocht-Stra%C3%9Fe
Q106605038	Category:Bernstorffstra%C3%9Fe_(Hamburg)
Q100874607	Category:Berufliche_Schule_City_Nord
Q109469101	Category:Berufliche_Schule_f%C3%BCr_Spedition,_Logistik_%26_Verkehr
Q24283619	Category:Berufliche_Schule_f%C3%BCr_Wirtschaft_Hamburg-Eimsb%C3%BCttel
Q98271592	Category:Berufliche_Schule_Fahrzeugtechnik
Q101525810	Category:Berufliche_Schule_Farmsen
Q109560536	Category:Berufliche_Schule_St._Pauli
Q106778699	Category:Berufliche_Schule_Stahl-_und_Maschinenbau
Q828953	Category:Berufsgenossenschaftliches_Unfallkrankenhaus_Hamburg
Q105723361	Category:Berufsschule_Billwerder_Billdeich_614
Q105723401	Category:Berufsschule_Billwerder_Billdeich_620
Q105723288	Category:Berufsschule_Billwerder_Billdeich_622
Q106519847	Category:Berufsschule_Dratelnstra%C3%9Fe_24
Q106519857	Category:Berufsschule_Dratelnstra%C3%9Fe_26
Q106519866	Category:Berufsschule_Dratelnstra%C3%9Fe_28
Q101477189	Category:Berufsschule_Hermelinweg
Q107389814	Category:Berufsschule_Reichsbahnstra%C3%9Fe
Q106395065	Category:Berufsschule_Richardstra%C3%9Fe
Q114808675	Category:Beselerplatz
Q18616700	Category:Besenbinderhof
Q106605039	Category:Bethesdastra%C3%9Fe_(Hamburg)
Q831313	Category:Bethlehem-Kirche_(Hamburg-Eimsb%C3%BCttel)
Q61409678	Category:Bieberhaus
Q114808677	Category:Bieberstra%C3%9Fe_(Hamburg)
Q106605040	Category:Biedermannplatz
Q108344871	Category:Bildungszentrum_f%C3%BCr_Blinde_und_Sehbehinderte
Q106605041	Category:Billbrookdeich
Q11909384	Category:Billbrookkanal
Q11909383	Category:Billekanal
Q114808679	Category:Billhorner_Br%C3%BCckenstra%C3%9Fe
Q114808682	Category:Billstedter_Hauptstra%C3%9Fe
Q106605042	Category:Billstra%C3%9Fe_(Hamburg)
Q106605043	Category:Billwerder_Billdeich
Q106640704	Category:Billwerder_Billdeich_424
Q109676079	Category:Billwerder_Bucht
Q114808684	Category:Billwerder_Stra%C3%9Fe
Q106605044	Category:Binderstra%C3%9Fe_(Hamburg)
Q106605045	Category:Bindfeldweg
Q3238460	Category:Binnenalster
Q106605046	Category:Binnenfeldredder
Q863909	Category:Binnenhafen_(Hamburg)
Q21199010	Category:Biosph%C3%A4renreservat_Hamburgisches_Wattenmeer
Q800176	Category:Birdland_(Hamburg)
Q866205	Category:Bischofsturm_(Hamburg)
Q540460	Category:Bismarck-Denkmal_(Hamburg)
Q106605047	Category:Bismarckstra%C3%9Fe_(Hamburg)
Q880257	Category:Black_Form_%E2%80%93_Dedicated_to_the_Missing_Jews_(Sol_LeWitt)
Q1340048	Category:Blankenese_Oberfeuer
Q2151324	Category:Blankenese_range_lights
Q1821466	Category:Blankenese_Unterfeuer
Q106605048	Category:Blankeneser_Bahnhofstra%C3%9Fe
Q106605049	Category:Blankeneser_Hauptstra%C3%9Fe
Q881579	Category:Blankeneser_Kirche
Q106605050	Category:Blankeneser_Landstra%C3%9Fe
Q19275518	Category:Bleichenbr%C3%BCcke
Q106605051	Category:Bleichenbr%C3%BCcke_(street)
Q106605052	Category:Bleicherstra%C3%9Fe_(Hamburg)
Q63439545	Category:Blohm_%2B_Voss_yard
Q19835553	Category:Blohms_Park
Q106605053	Category:Blumenau_(Hamburg)
Q106605054	Category:Blumenstra%C3%9Fe_(Hamburg)
Q114808699	Category:Bo%C3%9Fdorfstra%C3%9Fe_(Hamburg)
Q114808686	Category:Boberger_Furtweg
Q109347064	Category:Boberger_Furtweg_1
Q1970851	Category:Boberger_Niederung
Q888737	Category:Boberger_See
Q106605055	Category:Bochumer_Weg_(Hamburg)
Q108566758	Category:Bodelschwingh-Kirche_(Hamburg-Winterhude)
Q19275580	Category:Boehn-Kaserne_(Hamburg)
Q106605057	Category:Bogenstra%C3%9Fe_(Hamburg)
Q108342432	Category:Bolivarpark_(Harvestehude)
Q114808688	Category:Bonifatiusplatz_(Hamburg)
Q106605059	Category:Bonifatiusstra%C3%9Fe_(Hamburg)
Q106605060	Category:Borchertring
Q106605061	Category:Borgesch_(Hamburg)
Q106605062	Category:Borgfelder_Allee_(Hamburg)
Q106605063	Category:Borgfelder_Stra%C3%9Fe_(Hamburg)
Q1658840	Category:Borghorster_Elblandschaft
Q106605064	Category:Borgweg_(Hamburg)
Q20107744	Category:Bornbach_(Tarpenbek)
Q106605065	Category:Bornemannstra%C3%9Fe_(Hamburg)
Q106605066	Category:Borner_Stieg
Q106605067	Category:Bornheide_(Hamburg)
Q106605068	Category:Bornkampsweg_(Hamburg)
Q114808691	Category:Bornstra%C3%9Fe_(Hamburg)
Q98068876	Category:Bornweggraben
Q58070302	Category:Borsigbr%C3%BCcke_(Hamburg)
Q114808693	Category:Borsigstra%C3%9Fe_(Hamburg)
Q114808695	Category:Borsteler_Chaussee
Q114808697	Category:Borstelmannsweg
Q106605069	Category:Bostelreihe
Q613250	Category:Botanischer_Garten_Hamburg
Q14906471	Category:Bovehaus_(Hamburg-Wandsbek)
Q106605071	Category:Bovestra%C3%9Fe
Q106605072	Category:Bozenhardweg
Q106605087	Category:Br%C3%B6dermannsweg
Q58804215	Category:Br%C3%BCcke_des_17._Juni_(Hamburg)
Q96309255	Category:Br%C3%BCder-Grimm-Schule_(Hamburg)
Q996802	Category:Br%C3%BCderstra%C3%9Fe_(Hamburg)
Q106605073	Category:Braamkamp
Q65657978	Category:Brabandbr%C3%BCcke
Q11909931	Category:Brabandkanal
Q897345	Category:Brahms_Kontor
Q114808701	Category:Brahmsallee_(Hamburg)
Q28745374	Category:Brahms-Museum
Q106605074	Category:Bramfelder_Chaussee
Q23785419	Category:Bramfelder_Dorfgraben
Q114808703	Category:Bramfelder_Dorfplatz
Q108105595	Category:Bramfelder_Dorfplatz_1
Q897573	Category:Bramfelder_See
Q14540498	Category:Bramfelder_Stra%C3%9Fe
Q111034798	Category:Bramfelder_Stra%C3%9Fe_157
Q897571	Category:Bramfelder_SV
Q106605075	Category:Bramfelder_Weg
Q114808705	Category:Brandshofer_Deich
Q63562647	Category:Brandshofer_Schleuse
Q898309	Category:Brandstwiete
Q114808707	Category:Brauerstra%C3%9Fe_(Hamburg)
Q106605076	Category:Brauhausstra%C3%9Fe_(Hamburg)
Q65998730	Category:Brecht-Schule_(Hamburg)
Q882922	Category:Bredenbek_(Alster)
Q106605077	Category:Bredenbekstra%C3%9Fe
Q106605078	Category:Brehmweg_(Hamburg)
Q114808709	Category:Breite_Stra%C3%9Fe_(Hamburg)
Q106605079	Category:Breitenfelder_Stra%C3%9Fe_(Hamburg)
Q106605080	Category:Breiter_Gang_(Hamburg)
Q106605081	Category:Brekelbaums_Park
Q106605082	Category:Bremer_Reihe
Q106605083	Category:Bremer_Stra%C3%9Fe_(Hamburg)
Q114808711	Category:Bremers_Weg
Q106605084	Category:Brennerstra%C3%9Fe_(Hamburg)
